"Название (Аббр.): Чек-лист для приложения ""Мобильный хоспис"". (MH)";;;
Описание:;;;
Статус: Не согласован;;;
Проверка формы авторизации;;;
;;;
№;Приоритет;Проверка;Результат
94;Средний;"В поле фильтра ""Категория"" ввести только символы";Новость не создана, появляется сообщение о том, что поле должно содержать буквы
95;Средний;"В поле фильтра ""Категория"" ввести только пробелы";В списке отображаются все новости за выбранный промежуток времени
96;Средний;Заполнить только первую дату периода;"Появляется сообщение : ""Неверно указан период"""
97;Средний;Заполнить только вторую дату периода;"Появляется сообщение : ""Неверно указан период"""
98;Средний;Удаление новости;Новость удалена. Ее нет в списке новостей.
99;Средний;Просмотр описания новости в панели управления;При нажатии раскрывается карточка новости , и появляется ее описание.
100;Средний;Скрытие описания новости в панели управления;При нажатии на новость с открытым описанием, оно сворачивается и становится не видным.
101;Средний;Редактирование категории новости;В карточке новости отображается отредактированная категория
102;Средний;Редактирование заголовка новости;В карточке новости отображается отредактированный заголовок
103;Средний;Редактирование даты новости;В карточке новости отображается отредактированная дата
104;Средний;Редактирование времени новости;В карточке новости отображается отредактированное время
105;Средний;Редактирование описания новости;В карточке новости отображается отредактированное описание
106;Средний;"Изменение статуса новости с ""Активна"" на ""Не активна""";"В карточке новости отображается статус ""Не активна"""
107;Средний;"Изменение статуса новости с ""Не активна"" на ""Активна""";"В карточке новости отображается статус ""Активна"""
108;Средний;Скроллинг ленты новостей;Лента новостей листается соответственно направлению скроллинга.
;;;
"Проверка раздела ""Главная""";;;
;;;
№;Приоритет;Проверка;Результат
109;Средний;Отображение блока новостей на главном экране приложения;На главном экране виден блок, состоящий из трех последних новостей.
110;Средний;Отображение блока претензий на главном экране приложения;На главном экране виден блок, состоящий из шести самых старых претензий.
111;Средний;Скрытие блока новостей на главном экране;"Блок новостей сворачивается, остается только название ""Новости"""
112;Средний;Раскрытие блока новостей на главном экране;Блок новостей раскрывается, становятся видны три последние новости
113;Средний;"Нажатие кнопки ""Все новости"" в блоке новостей.";Осуществляется переход на экран со всеми новостями.
114;Средний;Просмотр описания новости в блоке новостей.;При нажатии на новость, раскрывается ее описание
115;Средний;Переход в окно создания претензии из блока претензий;"Открывается окно ""Создание заявки"""
116;Средний;Переход в окно создания претензий из свернутого блока претензий;"Открывается окно ""Создание заявки"""
117;Средний;Скрытие блока претензий на главном экране;"Блок претензий сворачивается, остается только название ""Заявки"" и кнопка создания новой претензии"
118;Средний;Раскрытие блока претензий на главном экране;Блок претензий раскрывается, становятся видны шесть старейших претензии
119;Средний;Просмотр карточки претензии из блока претензий;При нажатии на претензию открывается ее карточка
120;Средний;"Нажатие кнопки ""Все заявки"" в блоке претензий";Осуществляется переход на экран со всеми претензиями.
;;;
"Проверка раздела ""О приложении""";;;
;;;
№;Приоритет;Проверка;Результат
121;Средний;"Переход по ссылке ""Политика конфиденциальности"" в разделе ""О приложении""";Производится переход на соответствующую страницу
122;Средний;"Переход по ссылке ""Пользовательское соглашение"" в разделе ""О приложении""";Производится переход на соответствующую страницу
123;Средний;"Нажатие кнопки ""Назад"" в разделе ""О приложении""";Производится переход на предыдущий экран
;;;
Проверка раздела тематических цитат;;;
;;;
№;Приоритет;Проверка;Результат
124;Средний;Нажатие кнопки раздела тематических цитат;Открывается экран , на котором размещены тематические цитаты про Хоспис.
125;Средний;Нажатие на карточку цитаты;Открывается последующее ее описание.
126;Средний;Скрытие развернутого описания карточки;Карточка сворачивается, подробное описание становится не видным.
127;Средний;Пролистывание ленты тематических цитат;Лента тематических цитат движется соответственно направлению скроллинга.
;;;
Проверка выхода из аккаунта;;;
;;;
№;Приоритет;Проверка;Результат
128;Средний;Выход из профиля;Появляется окно авторизации с пустыми полями логина и пароля.
129;Средний;Повторная авторизация с существующим логином и паролем;Вход осуществлен, пользователь видит главный экран приложения.
